"","Importancia_RF","Valor.p.bruto","Valor.p.ajustado"
"SNP3",83.2867440350516,5.58519813178628e-25,5.58519813178628e-23
"SNP1",83.0705755189445,4.32156623755252e-29,4.32156623755252e-27
"SNP2",36.1422840147343,3.3900810312969e-08,3.3900810312969e-06
"SNP5",18.4343500212117,0.00113602601729165,0.113602601729165
"SNP4",12.3229417956504,0.0151565495831312,1
"SNP8",8.74079019091652,0.0077416311693579,0.77416311693579
"SNP27",4.34367225406254,0.11186612376087,1
"SNP11",4.0188868724485,7.19009632316955e-05,0.00719009632316955
"SNP99",3.84225117196187,0.872266633216938,1
"SNP19",3.82268782165555,0.572797379198366,1
"SNP64",3.57578919674649,0.768615483449704,1
"SNP43",3.27320939423964,0.0248332884358663,1
"SNP76",3.18609344051346,0.862626655221896,1
